make,year,price_pkr,mileage_km,engine_cc,transmission,fuel_type,city,seller_type
Toyota,2018.0,3800000.0,130000.0,1000.0,Automatic,Petrol,Islamabad,Individual
Toyota,2008.0,2570000.0,153379.0,1000.0,Automatic,Petrol,Islamabad,Individual
Honda,2020.0,6000000.0,59000.0,1800.0,Automatic,Petrol,Karachi,Individual
Honda,2022.0,4415000.0,60125.0,1200.0,Automatic,Petrol,Lahore,Individual
Suzuki,2019.0,2690000.0,72000.0,1000.0,Manual,Petrol,Faisalabad,Individual
Audi,2016.0,9250000.0,109000.0,2000.0,Automatic,Petrol,Sargodha,Individual
Toyota,2012.0,170000.0,76000.0,2700.0,Automatic,Petrol,Islamabad,Individual
Suzuki,2022.0,3650000.0,17500.0,660.0,Automatic,Hybrid,Islamabad,Individual
Toyota,2006.0,3200000.0,125000.0,1500.0,Automatic,Petrol,Lahore,Individual
Suzuki,2007.0,1195000.0,203000.0,1300.0,Manual,Petrol,Rawalpindi,Individual
MG,2022.0,6395000.0,50000.0,1500.0,Automatic,Petrol,Lahore,Individual
KIA,2025.0,5725000.0,10000.0,1400.0,Automatic,Petrol,Karachi,Individual
Nissan,2010.0,2950000.0,102700.0,1500.0,Automatic,Petrol,Lahore,Individual
Suzuki,2021.0,3450000.0,100000.0,1300.0,Automatic,Petrol,Wah cantt,Individual
Haval,2026.0,9480000.0,199.0,1500.0,Automatic,Petrol,Rawalpindi,Individual
Honda,2005.0,1415000.0,200000.0,1500.0,Manual,Petrol,Lahore,Individual
Suzuki,2006.0,1250000.0,150.0,1300.0,Manual,Petrol,Hyderabad,Individual
Honda,2018.0,3679999.9999999995,99250.0,1300.0,Manual,Petrol,Sargodha,Individual
Toyota,2019.0,136000.0,36200.0,2800.0,Automatic,Diesel,Gujranwala,Individual
Toyota,2012.0,3200000.0,155000.0,1300.0,Manual,Petrol,Dina,Individual
Mercedes,2010.0,9800000.0,110000.0,1800.0,Automatic,Petrol,Peshawar,Individual
Adam,2022.0,125000.0,29000.0,2800.0,Automatic,Diesel,Karachi,Individual
Suzuki,2021.0,3150000.0,44000.0,660.0,Automatic,Hybrid,Akora khattak,Individual
Suzuki,2007.0,950000.0,125000.0,1000.0,Manual,Petrol,Islamabad,Individual
Toyota,2017.0,5600000.0,71000.0,1600.0,Automatic,Petrol,Islamabad,Individual
Honda,2017.0,3850000.0,60000.0,1300.0,Manual,Petrol,Lahore,Individual
Honda,2024.0,4725000.0,42000.0,1200.0,Automatic,Petrol,Lahore,Individual
Honda,2019.0,6000000.0,72000.0,1800.0,Automatic,Petrol,Kohat,Individual
Toyota,2020.0,4370000.0,78000.0,1000.0,Automatic,Petrol,Attock,Individual
Toyota,2012.0,2520000.0,220000.0,1300.0,Manual,Petrol,Multan,Individual
Toyota,2023.0,144000.0,33000.0,2800.0,Automatic,Diesel,Islamabad,Individual
Toyota,2010.0,4600000.0,110000.0,1800.0,Automatic,Hybrid,Islamabad,Individual
Honda,2015.0,4290000.0,129000.0,1800.0,Automatic,Petrol,Islamabad,Individual
Proton,2023.0,5850000.0,50000.0,1500.0,Automatic,Petrol,Islamabad,Individual
Toyota,2026.0,143000.0,25.0,2700.0,Automatic,Petrol,Lahore,Individual
Toyota,2024.0,735000.0,40.0,3500.0,Automatic,Petrol,Karachi,Individual
Toyota,2021.0,5850000.0,33000.0,1598.0,Automatic,Petrol,Islamabad,Individual
Honda,2021.0,4749000.0,71000.0,1500.0,Automatic,Petrol,Lahore,Individual
Suzuki,2020.0,2345000.0,60000.0,660.0,Manual,Petrol,Karachi,Individual
Toyota,2015.0,3650000.0,95000.0,1500.0,Automatic,Hybrid,Karachi,Individual
Hyundai,2021.0,7400000.0,78000.0,2000.0,Automatic,Petrol,Islamabad,Individual
KIA,2021.0,2970000.0,70000.0,1000.0,Automatic,Petrol,Islamabad,Individual
Suzuki,2026.0,3025000.0,15.0,660.0,Manual,Petrol,Chakwal,Individual
Toyota,2026.0,5050000.0,1.0,1300.0,Automatic,Petrol,Karachi,Individual
Toyota,2014.0,3200000.0,182000.0,1300.0,Manual,Petrol,Quetta,Individual
Honda,2018.0,3370000.0000000005,76000.0,1300.0,Manual,Petrol,Lahore,Individual
Suzuki,2007.0,985000.0,233100.0,1000.0,Manual,Petrol,Muridke,Individual
Toyota,2021.0,5500000.0,75000.0,1000.0,Automatic,Petrol,Sialkot,Individual
Changan,2025.0,8450000.0,6800.0,1500.0,Automatic,Petrol,Faisalabad,Individual
Hyundai,2020.0,6400000.0,54000.0,2000.0,Automatic,Petrol,Lahore,Individual
Suzuki,2022.0,2685000.0,50000.0,1000.0,Manual,Petrol,Rawalpindi,Individual
Toyota,2011.0,3300000.0,120000.0,1600.0,Automatic,Petrol,Peshawar,Individual
Honda,2011.0,2975000.0,80000.0,1500.0,Automatic,Hybrid,Lahore,Individual
Adam,2017.0,9500000.0,78000.0,3000.0,Automatic,Diesel,Karachi,Individual
Honda,2000.0,1170000.0,160000.0,1300.0,Manual,Petrol,Multan,Individual
Toyota,2010.0,3500000.0,127000.0,1300.0,Manual,Petrol,Sargodha,Individual
Chevrolet,2008.0,960000.0,208595.0,1000.0,Manual,Petrol,Sialkot,Individual
KIA,2022.0,2680000.0,55000.0,1000.0,Manual,Petrol,Karachi,Individual
Toyota,2020.0,5250000.0,88100.0,1600.0,Automatic,Petrol,Multan,Individual
Suzuki,2005.0,919999.9999999999,37990.0,800.0,Manual,Petrol,Rawalpindi,Individual
Nissan,2007.0,1725000.0,150000.0,1400.0,Automatic,Petrol,Lahore,Individual
Toyota,2020.0,3800000.0,49000.0,1300.0,Automatic,Petrol,Karachi,Individual
Honda,2015.0,2610000.0,150000.0,1300.0,Manual,Petrol,Lahore,Individual
Honda,2018.0,3379999.9999999995,128000.0,1300.0,Manual,Petrol,Faisalabad,Individual
KIA,2021.0,6800000.0,43497.0,2400.0,Automatic,Petrol,Karachi,Individual
Honda,2002.0,1825000.0,165000.0,1600.0,Automatic,Petrol,Islamabad,Individual
Honda,2019.0,6750000.0,180000.0,1500.0,Automatic,Hybrid,Peshawar,Individual
MG,2021.0,6000000.0,50000.0,1490.0,Automatic,Petrol,Lahore,Individual
Daihatsu,2020.0,5800000.0,49000.0,1000.0,Automatic,Petrol,Karachi,Individual
KIA,2020.0,6350000.0,95000.0,2000.0,Automatic,Petrol,Lahore,Individual
Toyota,2022.0,378000.0,40000.0,2800.0,Automatic,Diesel,Lahore,Individual
Toyota,2023.0,172000.0,60000.0,2800.0,Automatic,Diesel,Karachi,Individual
Toyota,2023.0,190000.0,41000.0,2800.0,Automatic,Diesel,Lahore,Individual
Toyota,2021.0,9000000.0,29500.0,1500.0,Automatic,Hybrid,Islamabad,Individual
Honda,2018.0,5290000.0,120000.0,1800.0,Automatic,Petrol,Lahore,Individual
Honda,2020.0,4150000.0,100000.0,1500.0,Automatic,Petrol,Islamabad,Individual
KIA,2025.0,5750000.0,17900.0,1400.0,Automatic,Petrol,Islamabad,Individual
Daihatsu,2011.0,3600000.0,111000.0,1500.0,Automatic,Petrol,Mandra,Individual
Haval,2025.0,118000.0,10000.0,1500.0,Automatic,Hybrid,Gujrat,Individual
Toyota,2007.0,2980000.0,150000.0,1500.0,Automatic,Petrol,Rawalpindi,Individual
Toyota,2016.0,2200000.0,150000.0,660.0,Automatic,Petrol,Hyderabad,Individual
Suzuki,2022.0,3250000.0,26000.0,1000.0,Manual,Petrol,Karachi,Individual
Suzuki,2019.0,2900000.0,38000.0,1000.0,Manual,Petrol,Lahore,Individual
Suzuki,2005.0,950000.0,85000.0,1000.0,Manual,Petrol,Karachi,Individual
Daihatsu,2018.0,2400000.0,124266.0,660.0,Automatic,Petrol,Karachi,Individual
Mitsubishi,1995.0,1250000.0,1.0,660.0,Manual,Petrol,Wah cantt,Individual
Adam,2020.0,114999.99999999999,59000.0,1051.0,Automatic,Diesel,Peshawar,Individual
Hyundai,2022.0,7200000.0,65000.0,2000.0,Automatic,Petrol,Lahore,Individual
Suzuki,2016.0,1300000.0,69000.0,796.0,Manual,Petrol,Islamabad,Individual
KIA,2025.0,108000.0,23000.0,1600.0,Automatic,Hybrid,Islamabad,Individual
United,2019.0,775000.0,60000.0,800.0,Manual,LPG,Karachi,Individual
Toyota,2004.0,1800000.0,300000.0,1300.0,Manual,Petrol,Mansehra,Individual
Suzuki,2006.0,630000.0,150000.0,800.0,Manual,Petrol,Lahore,Individual
Honda,2018.0,3450000.0,111000.0,1300.0,Manual,Petrol,Faisalabad,Individual
Honda,2019.0,3840000.0,105000.0,1300.0,Manual,Petrol,Lahore,Individual
MG,2021.0,5750000.0,96000.0,1490.0,Automatic,Petrol,Islamabad,Individual
Toyota,2021.0,285000.0,61500.0,2700.0,Automatic,Petrol,Rawalpindi,Individual
Haval,2024.0,108000.0,41000.0,1500.0,Automatic,Hybrid,Lahore,Individual
Nissan,2007.0,1850000.0,135000.0,660.0,Automatic,Petrol,Islamabad,Individual
Honda,2016.0,3650000.0,111636.0,1300.0,Manual,Petrol,Faisalabad,Individual
Peugeot,2023.0,6300000.0,3948.0,1200.0,Automatic,Petrol,Karachi,Individual
Toyota,2003.0,7580000.0,83000.0,2700.0,Automatic,Petrol,Karachi,Individual
Honda,2016.0,4500000.0,54482.0,1500.0,Automatic,Petrol,Karachi,Individual
Daihatsu,2019.0,3300000.0,80389.0,660.0,Automatic,Petrol,Karachi,Individual
Toyota,2013.0,7500000.0,170000.0,2400.0,Automatic,Diesel,Lahore,Individual
Toyota,2020.0,6250000.0,30581.0,1000.0,Automatic,Petrol,Karachi,Individual
Suzuki,2006.0,1475000.0,118000.0,1300.0,Manual,Petrol,Lahore,Individual
Toyota,2022.0,6900000.0,45000.0,1800.0,Automatic,Petrol,Bahawalpur,Individual
Toyota,2022.0,6300000.0,61000.0,1600.0,Automatic,Petrol,Rawalpindi,Individual
Honda,2013.0,3500000.0,136000.0,1800.0,Automatic,Petrol,Karachi,Individual
Toyota,2023.0,4650000.0,46000.0,1000.0,Automatic,Petrol,Lahore,Individual
Haval,2024.0,106000.0,47000.0,1500.0,Automatic,Hybrid,Lahore,Individual
Suzuki,2022.0,3750000.0,55700.0,1200.0,Manual,Petrol,Karachi,Individual
Honda,2008.0,2300000.0,128321.0,1300.0,Manual,Petrol,Rawalpindi,Individual
Haval,2026.0,9850000.0,4300.0,1500.0,Automatic,Petrol,Sadiqabad,Individual
Suzuki,2018.0,2400000.0,65000.0,1000.0,Manual,Petrol,Karachi,Individual
Suzuki,2021.0,2350000.0,78000.0,660.0,Manual,Petrol,Karachi,Individual
Suzuki,2021.0,2680000.0,40000.0,660.0,Automatic,Petrol,Quetta,Individual
Toyota,2008.0,2520000.0,146000.0,1300.0,Manual,Petrol,Islamabad,Individual
Haval,2024.0,111000.00000000001,33000.0,1500.0,Automatic,Hybrid,Islamabad,Individual
Toyota,2002.0,1950000.0,160000.0,1000.0,Automatic,Petrol,Islamabad,Individual
Honda,2007.0,2300000.0,177173.0,1800.0,Automatic,Petrol,Rawalpindi,Individual
Suzuki,2022.0,4390000.0,5000.0,1200.0,Automatic,Petrol,Lahore,Individual
Honda,2022.0,9000000.0,4800.0,1500.0,Automatic,Petrol,Karachi,Individual
